"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sword of Forge and Frontier","","M","2345","1.05","2252","1.05","13533","56.0%","2367","58.9%","3009","59.3%","5376","59.1%","8098","53.8%","5.3pp"
"Vraska, Betrayal's Sting","B","M","2425","1.10","2087","1.09","10948","53.8%","1817","55.2%","2549","59.5%","4366","57.7%","6521","50.9%","6.8pp"
"The Eternal Wanderer","W","R","5028","1.16","4427","1.15","24795","58.2%","4181","62.9%","5753","66.1%","9934","64.8%","14789","53.7%","11.1pp"
"Nissa, Ascended Animist","G","M","2558","1.16","2178","1.15","11594","58.0%","1913","63.9%","2689","68.6%","4602","66.7%","6957","52.1%","14.5pp"
"Elesh Norn, Mother of Machines","W","M","2526","1.16","2172","1.15","11930","57.5%","1972","62.1%","2671","62.6%","4643","62.4%","7248","54.3%","8.1pp"
"Sheoldred, the Apocalypse","B","M","1482","1.19","1183","1.17","6103","56.8%","1023","66.4%","1503","64.9%","2526","65.5%","3539","50.5%","15.0pp"
"Vorinclex, Monstrous Raider","G","M","1587","1.27","1204","1.24","6523","57.2%","1091","60.2%","1439","61.9%","2530","61.2%","3976","54.5%","6.7pp"
"Mondrak, Glory Dominus","W","M","2799","1.30","2001","1.27","10040","53.9%","1759","54.6%","2126","54.8%","3885","54.7%","6144","53.5%","1.2pp"
"Bloated Contaminator","G","R","5684","1.33","4291","1.30","23414","56.1%","4238","62.2%","5164","57.4%","9402","59.5%","13967","53.7%","5.9pp"
"Argentum Masticore","","R","5692","1.33","4714","1.30","27078","54.5%","4395","54.3%","6088","55.2%","10483","54.8%","16510","54.2%","0.6pp"
"Lukka, Bound to Ruin","RG","M","2847","1.34","2241","1.31","12166","57.6%","2050","62.0%","2735","63.0%","4785","62.6%","7372","54.3%","8.3pp"
"White Sun's Twilight","W","R","5706","1.35","4422","1.32","24266","57.5%","3944","62.2%","5394","65.0%","9338","63.8%","14876","53.5%","10.4pp"
"Thrun, Breaker of Silence","G","R","5846","1.35","4508","1.32","24374","56.2%","4107","61.3%","5385","62.2%","9492","61.8%","14832","52.7%","9.1pp"
"Jace, the Perfected Mind","U","M","3111","1.39","2014","1.34","9458","54.4%","1604","58.9%","2407","59.8%","4011","59.4%","5360","50.6%","8.9pp"
